game_name,original_price,discount,packages,percentage
"Warhammer 40,000: Space Marine 2",25000.0,10000.0,N/A,-60%
Hogwarts Legacy,30000.0,4500.0,N/A,-85%
DOOM: The Dark Ages,40000.0,20000.0,N/A,-50%
EA SPORTS FC™ 26,37000.0,18500.0,N/A,-50%
Red Dead Redemption 2,32990.0,8245.0,N/A,-75%
Risk of Rain 2,10500.0,3465.0,N/A,-67%
Forza Horizon 5,34000.0,17000.0,N/A,-50%
Detroit: Become Human,21990.0,4400.0,N/A,-80%
SILENT HILL 2,37500.0,18750.0,N/A,-50%
Ghost of Tsushima DIRECTOR'S CUT,32500.0,19500.0,N/A,-40%
Hearts of Iron IV,26400.0,7920.0,N/A,-70%
Grand Theft Auto V Enhanced,16390.0,8195.0,N/A,-50%
Of Ash and Steel,12400.0,9920.0,N/A,-20%
F1® 25,32000.0,16000.0,N/A,-50%
The Elder Scrolls V: Skyrim Special Edition,21900.0,5475.0,N/A,-75%
Marvel’s Spider-Man Remastered,32500.0,13000.0,N/A,-60%
The Elder Scrolls IV: Oblivion Remastered,24900.0,16685.0,N/A,-33%
Split Fiction,27000.0,21600.0,N/A,-20%
SILENT HILL f,37500.0,30000.0,N/A,-20%
Warhammer: Vermintide 2,12400.0,620.0,N/A,-95%
God of War,26500.0,10600.0,N/A,-60%
It Takes Two,25000.0,6250.0,N/A,-75%
Stellar Blade™,32500.0,26000.0,N/A,-20%
NBA 2K26,35000.0,15750.0,N/A,-55%
Mortal Kombat 1,20000.0,4000.0,N/A,-80%
Dying Light: The Beast,34990.0,27990.0,N/A,-20%
Blue Prince,12400.0,8185.0,N/A,-34%
Fallout 76,23900.0,5975.0,N/A,-75%
Ready or Not,19900.0,11940.0,N/A,-40%
Red Dead Redemption,26300.0,13150.0,N/A,-50%
Halo: The Master Chief Collection,24000.0,6000.0,N/A,-75%
Call of Duty®: Black Ops III,30025.0,9905.0,N/A,-67%
ASTRONEER,12400.0,3720.0,N/A,-70%
Indiana Jones and the Great Circle,43000.0,30100.0,N/A,-30%
Stellaris,21100.0,5275.0,N/A,-75%
RimWorld,14500.0,11600.0,N/A,-20%
DARK SOULS™ III,26000.0,13000.0,N/A,-50%
Diablo® IV,25000.0,12500.0,N/A,-50%
METAL GEAR SOLID Δ: SNAKE EATER,27900.0,19530.0,N/A,-30%
FINAL FANTASY VII REMAKE INTERGRADE,20000.0,10000.0,N/A,-50%
The Last of Us™ Part I,32500.0,16250.0,N/A,-50%
UNCHARTED™: Legacy of Thieves Collection,26500.0,8745.0,N/A,-67%
HELLDIVERS™ 2,22500.0,18000.0,N/A,-20%
The Elder Scrolls® Online,11300.0,2825.0,N/A,-75%
Escape from Tarkov,10000.0,8500.0,N/A,-15%
Marvel's Spider-Man 2,32500.0,26000.0,N/A,-20%
DAVE THE DIVER,9500.0,5225.0,N/A,-45%
Marvel’s Spider-Man: Miles Morales,26500.0,10600.0,N/A,-60%
STAR WARS Jedi: Survivor™,45000.0,6750.0,N/A,-85%
Dead Space,38000.0,5700.0,N/A,-85%
